Term,Class ID,Coach,Venue,Start Time,AM/PM,Day of Week,Age,Full Enrolments,Number of Waitlists,Total (including waitlist),Quota
2025 Term 1,25T1-MS7021,Matthew B,Minisport Hub (Caine Road),9:00,AM,Sun,Mini-Tots,8,8,16,7
2025 Term 1,25T1-NC2122,Rohit,Nam Cheong Park,17:00,PM,Tue,Mini-Tots,10,8,18,10
2025 Term 1,25T1-MS4121,Dan,Minisport Hub (Caine Road),16:00,PM,Thu,Mini-Tots,8,3,11,7
2025 Term 1,25T1-VP2111,Daniel,Victoria Park,16:10,PM,Tue,Playgroup,10,6,16,10
2025 Term 1,25T1-MS7011,Matthew B,Minisport Hub (Caine Road),10:00,AM,Sun,Playgroup,7,4,11,7
2025 Term 1,25T1-SY5112,Matthew B,Sun Yat Sen Memorial Park,16:40,PM,Fri,Playgroup,10,3,13,10
2025 Term 1,25T1-TK3121,Luke,Tseung Kwan O Velodrome,16:10,PM,Wed,Mini-Tots,10,9,19,10
2025 Term 1,25T1-TK6021,Luke,Tseung Kwan O Velodrome,9:00,AM,Sat,Mini-Tots,9,10,19,10
2025 Term 1,25T1-MS5121,Mike,Minisport Hub (Caine Road),16:00,PM,Fri,Mini-Tots,8,3,11,7
2025 Term 1,25T1-SY5121,Matthew B,Sun Yat Sen Memorial Park,15:45,PM,Fri,Mini-Tots,10,4,14,10
2025 Term 1,25T1-NC6021,Rohit,Nam Cheong Park,9:00,AM,Sat,Mini-Tots,11,2,13,10
2025 Term 1,25T1-MS1121,Michael B,Minisport Hub (Caine Road),15:00,PM,Mon,Mini-Tots,5,4,9,7
2025 Term 1,25T1-MS3122,Alastair,Minisport Hub (Caine Road),17:00,PM,Wed,Mini-Tots,7,1,8,7
2025 Term 1,25T1-VP6024,Daniel,Victoria Park,11:00,AM,Sat,Mini-Tots,10,5,15,10
2025 Term 1,25T1-MS2011,Jake,Minisport Hub (Caine Road),9:00,AM,Tue,Playgroup,7,1,8,7
2025 Term 1,25T1-KA2122,Michael B,Kai Tak Station Plaza,17:00,PM,Tue,Mini-Tots,8,4,12,10
2025 Term 1,25T1-TK4122,Alastair,Tseung Kwan O Velodrome,17:00,PM,Thu,Mini-Tots,9,3,12,10
2025 Term 1,25T1-WL6021,Hamad,Nam Cheong Park,9:00,AM,Sat,Mini-Tots,7,4,11,10
2025 Term 1,25T1-NC4111,Mat K,Nam Cheong Park,17:00,PM,Thu,Playgroup,9,1,10,10
2025 Term 1,25T1-NC5121,Hamad,Nam Cheong Park,16:10,PM,Fri,Mini-Tots,10,1,11,10
2025 Term 1,25T1-VP5121,Dan,Victoria Park,16:10,PM,Fri,Mini-Tots,9,1,10,10
2025 Term 1,25T1-VP6022,Mike,Victoria Park,10:00,AM,Sat,Mini-Tots,10,4,14,10
2025 Term 1,25T1-MS5111,Mike,Minisport Hub (Caine Road),15:00,PM,Fri,Playgroup,6,0,6,7
2025 Term 1,25T1-SY4121,Matthew B,Sun Yat Sen Memorial Park,15:45,PM,Thu,Mini-Tots,10,3,13,10
2025 Term 1,25T1-TP2121,Jake,Tamar Park,15:20,PM,Tue,Mini-Tots,10,2,12,10
2025 Term 1,25T1-VP3131,Daniel,Victoria Park,17:00,PM,Wed,Explorers,10,2,12,10
2025 Term 1,25T1-MS3111,Alastair,Minisport Hub (Caine Road),16:00,PM,Wed,Playgroup,8,0,8,7
2025 Term 1,25T1-VP1121,Alastair,Victoria Park,16:10,PM,Mon,Mini-Tots,9,2,11,10
2025 Term 1,25T1-MS6021,Matthew B,Minisport Hub (Caine Road),9:00,AM,Sat,Mini-Tots,6,1,7,7
2025 Term 1,25T1-MS6011,Matthew B,Minisport Hub (Caine Road),10:00,AM,Sat,Playgroup,7,1,8,7
2025 Term 1,25T1-MS6031,Matthew B,Minisport Hub (Caine Road),11:00,AM,Sat,Explorers,5,2,7,7
2025 Term 1,25T1-VP2011,Jon,Victoria Park,10:00,AM,Tue,Playgroup,10,1,11,10
2025 Term 1,25T1-VP2121,Daniel,Victoria Park,15:20,PM,Tue,Mini-Tots,11,1,12,10
2025 Term 1,25T1-VP4111,Jake,Victoria Park,16:10,PM,Thu,Playgroup,11,1,12,10
2025 Term 1,25T1-NC6011,Rohit,Nam Cheong Park,10:00,AM,Sat,Playgroup,11,1,12,10
2025 Term 1,25T1-VP6021,Mike,Victoria Park,9:00,AM,Sat,Mini-Tots,10,1,11,10
2025 Term 1,25T1-MS1021,Grant,Minisport Hub (Caine Road),9:00,AM,Mon,Mini-Tots,8,0,8,7
2025 Term 1,25T1-MS3011,Olivia,Minisport Hub (Caine Road),9:00,AM,Wed,Playgroup,8,1,9,7
2025 Term 1,25T1-KA2121,Michael B,Kai Tak Station Plaza,15:20,PM,Tue,Mini-Tots,9,0,9,10
2025 Term 1,25T1-MS1111,Michael B,Minisport Hub (Caine Road),16:00,PM,Mon,Playgroup,7,0,7,7
2025 Term 1,25T1-MS3121,Alastair,Minisport Hub (Caine Road),15:00,PM,Wed,Mini-Tots,7,0,7,7
2025 Term 1,25T1-SY4122,Michael B,Sun Yat Sen Memorial Park,16:40,PM,Thu,Mini-Tots,9,1,10,10
2025 Term 1,25T1-NC7011,Gautam,Nam Cheong Park,10:00,AM,Sun,Playgroup,9,1,10,10
2025 Term 1,25T1-VP6023,Dan,Victoria Park,11:00,AM,Sat,Mini-Tots,10,0,10,10
2025 Term 1,25T1-AP3021,Grant,Ap Lei Chau Park,9:00,AM,Wed,Mini-Tots,5,0,5,10
2025 Term 1,25T1-AP3011,Grant,Ap Lei Chau Park,10:00,AM,Wed,Playgroup,4,0,4,10
2025 Term 1,25T1-HV2011,Grant,Happy Valley,9:00,AM,Tue,Playgroup,9,0,9,10
2025 Term 1,25T1-HV2021,Grant,Happy Valley,10:00,AM,Tue,Mini-Tots,8,0,8,8
2025 Term 1,25T1-HV2022,Francis,Happy Valley,10:00,AM,Tue,Mini-Tots,2,0,2,10
2025 Term 1,25T1-KA2021,Michael B,Kai Tak Station Plaza,9:00,AM,Tue,Mini-Tots,8,0,8,10
2025 Term 1,25T1-KA2011,Michael B,Kai Tak Station Plaza,10:00,AM,Tue,Playgroup,2,0,2,10
2025 Term 1,25T1-KA5011,Hamad,Kai Tak Station Plaza,9:00,AM,Fri,Playgroup,2,0,2,10
2025 Term 1,25T1-KA5021,Hamad,Kai Tak Station Plaza,10:00,AM,Fri,Mini-Tots,4,0,4,10
2025 Term 1,25T1-KG1021,Jon,KGV Memorial Park,9:00,AM,Mon,Mini-Tots,6,0,6,10
2025 Term 1,25T1-KG1011,Jon,KGV Memorial Park,10:00,AM,Mon,Playgroup,4,0,4,10
2025 Term 1,25T1-KG2011,Mat K,KGV Memorial Park,9:00,AM,Tue,Playgroup,0,0,0,10
2025 Term 1,25T1-KG2021,Mat K,KGV Memorial Park,10:00,AM,Tue,Mini-Tots,6,0,6,10
2025 Term 1,25T1-MS1011,Grant,Minisport Hub (Caine Road),10:00,AM,Mon,Playgroup,5,0,5,7
2025 Term 1,25T1-MS3012,Olivia,Minisport Hub (Caine Road),10:00,AM,Wed,Playgroup,2,0,2,7
2025 Term 1,25T1-MS5021,Mat K,Minisport Hub (Caine Road),9:00,AM,Fri,Mini-Tots,0,0,0,7
2025 Term 1,25T1-MS5011,Mat K,Minisport Hub (Caine Road),10:00,AM,Fri,Playgroup,5,0,5,7
2025 Term 1,25T1-NC1021,Olivia,Nam Cheong Park,9:00,AM,Mon,Mini-Tots,10,0,10,10
2025 Term 1,25T1-NC1011,Olivia,Nam Cheong Park,10:00,AM,Mon,Playgroup,7,0,7,10
2025 Term 1,25T1-NC2011,Hamad,Nam Cheong Park,9:00,AM,Tue,Playgroup,5,0,5,10
2025 Term 1,25T1-NC2021,Hamad,Nam Cheong Park,10:00,AM,Tue,Mini-Tots,5,0,5,10
2025 Term 1,25T1-TP3021,Jon,Tamar Park,9:00,AM,Wed,Mini-Tots,2,0,2,10
2025 Term 1,25T1-TP3011,Jon,Tamar Park,10:00,AM,Wed,Playgroup,4,0,4,10
2025 Term 1,25T1-TK5021,Jake,Tseung Kwan O Velodrome,9:00,AM,Fri,Mini-Tots,7,0,7,10
2025 Term 1,25T1-TK5011,Jake,Tseung Kwan O Velodrome,10:00,AM,Fri,Playgroup,6,0,6,10
2025 Term 1,25T1-VP1021,Michael B,Victoria Park,9:00,AM,Mon,Mini-Tots,9,0,9,10
2025 Term 1,25T1-VP1011,Michael B,Victoria Park,10:00,AM,Mon,Playgroup,3,0,3,10
2025 Term 1,25T1-VP2021,Jon,Victoria Park,9:00,AM,Tue,Mini-Tots,5,0,5,10
2025 Term 1,25T1-VP3011,Alastair,Victoria Park,9:00,AM,Wed,Playgroup,6,0,6,10
2025 Term 1,25T1-VP3021,Alastair,Victoria Park,10:00,AM,Wed,Mini-Tots,4,0,4,10
2025 Term 1,25T1-KA3121,Rohit,Kai Tak Station Plaza,15:20,PM,Wed,Mini-Tots,9,0,9,10
2025 Term 1,25T1-KA3111,Rohit,Kai Tak Station Plaza,16:10,PM,Wed,Playgroup,6,0,6,10
2025 Term 1,25T1-KA3131,Rohit,Kai Tak Station Plaza,17:00,PM,Wed,Explorers,7,0,7,10
2025 Term 1,25T1-MS1131,Michael B,Minisport Hub (Caine Road),17:00,PM,Mon,Explorers,8,0,8,7
2025 Term 1,25T1-NC2121,Rohit,Nam Cheong Park,15:20,PM,Tue,Mini-Tots,7,0,7,10
2025 Term 1,25T1-NC2111,Rohit,Nam Cheong Park,16:10,PM,Tue,Playgroup,8,0,8,10
2025 Term 1,25T1-NC4131,Mat K,Nam Cheong Park,16:10,PM,Thu,Explorers,3,0,3,10
2025 Term 1,25T1-NC5131,Hamad,Nam Cheong Park,17:00,PM,Fri,Explorers,6,0,6,10
2025 Term 1,25T1-SY1121,Jon,Sun Yat Sen Memorial Park,15:45,PM,Mon,Mini-Tots,5,0,5,10
2025 Term 1,25T1-SY1131,Jon,Sun Yat Sen Memorial Park,16:40,PM,Mon,Explorers,6,0,6,10
2025 Term 1,25T1-SY2121,Grant,Sun Yat Sen Memorial Park,15:45,PM,Tue,Mini-Tots,9,0,9,10
2025 Term 1,25T1-SY2131,Olivia,Sun Yat Sen Memorial Park,15:45,PM,Tue,Explorers,4,0,4,10
2025 Term 1,25T1-SY2111,Grant,Sun Yat Sen Memorial Park,16:40,PM,Tue,Playgroup,9,0,9,10
2025 Term 1,25T1-SY2122,Olivia,Sun Yat Sen Memorial Park,16:40,PM,Tue,Mini-Tots,2,0,2,10
2025 Term 1,25T1-SY3121,Jake,Sun Yat Sen Memorial Park,15:45,PM,Wed,Mini-Tots,6,0,6,10
2025 Term 1,25T1-SY3131,Olivia,Sun Yat Sen Memorial Park,15:45,PM,Wed,Explorers,4,0,4,10
2025 Term 1,25T1-SY3111,Jake,Sun Yat Sen Memorial Park,16:40,PM,Wed,Playgroup,6,0,6,10
2025 Term 1,25T1-SY3122,Olivia,Sun Yat Sen Memorial Park,16:40,PM,Wed,Mini-Tots,2,0,2,10
2025 Term 1,25T1-SY4123,Michael B,Sun Yat Sen Memorial Park,15:45,PM,Thu,Mini-Tots,4,0,4,10
2025 Term 1,25T1-SY4131,Matthew B,Sun Yat Sen Memorial Park,16:40,PM,Thu,Explorers,8,0,8,10
2025 Term 1,25T1-SY5111,Luke,Sun Yat Sen Memorial Park,15:45,PM,Fri,Playgroup,4,0,4,10
2025 Term 1,25T1-SY5122,Luke,Sun Yat Sen Memorial Park,16:40,PM,Fri,Mini-Tots,4,0,4,10
2025 Term 1,25T1-TP2111,Jake,Tamar Park,16:10,PM,Tue,Playgroup,6,0,6,10
2025 Term 1,25T1-TP2131,Jake,Tamar Park,17:00,PM,Tue,Explorers,0,0,0,10
2025 Term 1,25T1-TS3121,Grant,Tsim Sha Tsui (Momentum Steps),16:00,PM,Wed,Mini-Tots,4,0,4,10
2025 Term 1,25T1-TS3111,Grant,Tsim Sha Tsui (Momentum Steps),17:00,PM,Wed,Playgroup,3,0,3,10
2025 Term 1,25T1-TK3131,Luke,Tseung Kwan O Velodrome,15:20,PM,Wed,Explorers,5,0,5,10
2025 Term 1,25T1-TK3111,Luke,Tseung Kwan O Velodrome,17:00,PM,Wed,Playgroup,8,0,8,10
2025 Term 1,25T1-TK4111,Alastair,Tseung Kwan O Velodrome,16:10,PM,Thu,Playgroup,3,0,3,10
2025 Term 1,25T1-VP1111,Alastair,Victoria Park,15:20,PM,Mon,Playgroup,2,0,2,10
2025 Term 1,25T1-VP1131,Alastair,Victoria Park,17:00,PM,Mon,Explorers,7,0,7,10
2025 Term 1,25T1-VP2122,Daniel,Victoria Park,17:00,PM,Tue,Mini-Tots,8,0,8,10
2025 Term 1,25T1-VP3121,Daniel,Victoria Park,15:20,PM,Wed,Mini-Tots,9,0,9,10
2025 Term 1,25T1-VP3122,Daniel,Victoria Park,16:10,PM,Wed,Mini-Tots,9,0,9,10
2025 Term 1,25T1-VP4131,Jake,Victoria Park,15:20,PM,Thu,Explorers,8,0,8,10
2025 Term 1,25T1-VP4121,Jake,Victoria Park,17:00,PM,Thu,Mini-Tots,4,0,4,10
2025 Term 1,25T1-VP5131,Dan,Victoria Park,15:20,PM,Fri,Explorers,5,0,5,10
2025 Term 1,25T1-VP5111,Dan,Victoria Park,17:00,PM,Fri,Playgroup,7,0,7,10
2025 Term 1,25T1-MS7031,Matthew B,Minisport Hub (Caine Road),11:00,AM,Sun,Explorers,6,0,6,7
2025 Term 1,25T1-NC6031,Rohit,Nam Cheong Park,11:00,AM,Sat,Explorers,6,0,6,10
2025 Term 1,25T1-NC7021,Gautam,Nam Cheong Park,9:00,AM,Sun,Mini-Tots,6,0,6,10
2025 Term 1,25T1-NC7031,Gautam,Nam Cheong Park,11:00,AM,Sun,Explorers,9,0,9,10
2025 Term 1,25T1-TK6011,Luke,Tseung Kwan O Velodrome,10:00,AM,Sat,Playgroup,11,0,11,10
2025 Term 1,25T1-TK6031,Luke,Tseung Kwan O Velodrome,11:00,AM,Sat,Explorers,5,0,5,10
2025 Term 1,25T1-WL6011,Hamad,Nam Cheong Park,10:00,AM,Sat,Playgroup,2,0,2,10
2025 Term 1,25T1-WL6031,Hamad,Nam Cheong Park,11:00,AM,Sat,Explorers,4,0,4,10
2025 Term 1,25T1-VP6011,Dan,Victoria Park,9:00,AM,Sat,Playgroup,5,0,5,10
2025 Term 1,25T1-VP6031,Daniel,Victoria Park,9:00,AM,Sat,Explorers,7,0,7,10
2025 Term 1,25T1-VP6032,Dan,Victoria Park,10:00,AM,Sat,Explorers,9,0,9,10
2025 Term 1,25T1-VP6012,Daniel,Victoria Park,10:00,AM,Sat,Playgroup,8,0,8,10
2025 Term 1,25T1-VP7021,Alastair,Victoria Park,9:00,AM,Sun,Mini-Tots,7,0,7,10
2025 Term 1,25T1-VP7011,Alastair,Victoria Park,10:00,AM,Sun,Playgroup,9,0,9,10
2025 Term 1,25T1-VP7031,Alastair,Victoria Park,11:00,AM,Sun,Explorers,4,0,4,10
2025 Term 1,25T1-WK6021,Gautam,West Kowloon Art Park,9:00,AM,Sat,Mini-Tots,11,0,11,10
2025 Term 1,25T1-WK6011,Gautam,West Kowloon Art Park,10:00,AM,Sat,Playgroup,5,0,5,10
2025 Term 1,25T1-WK6031,Gautam,West Kowloon Art Park,11:00,AM,Sat,Explorers,2,0,2,10
2025 Term 1,25T1-WK7021,Olivia,West Kowloon Art Park,9:00,AM,Sun,Mini-Tots,9,0,9,10
